time,"d-srs-04 [C40] CITEDI-IPN, Tijuana / Temperature","d-srs-04 [C40] CITEDI-IPN, Tijuana / Humidity","d-srs-04 [C40] CITEDI-IPN, Tijuana / Battery Voltage","d-srs-04 [C40] CITEDI-IPN, Tijuana / Activity",d-srs-06 [PV] / Temperature,d-srs-06 [PV] / Humidity,d-srs-06 [PV] / Battery Voltage,d-srs-06 [PV] / Activity
"Thu, 05 Sep 2024 12:20:25",,,,1.0,,,,
"Thu, 05 Sep 2024 12:39:16",26.0,59.0,2.838,,,,,
"Thu, 05 Sep 2024 12:41:11",,,,0.0,,,,
"Thu, 05 Sep 2024 12:43:45",,,,1.0,,,,
"Thu, 05 Sep 2024 12:59:26",,,,0.0,,,,
"Thu, 05 Sep 2024 13:39:16",26.3,60.5,2.841,,,,,
"Thu, 05 Sep 2024 14:23:49",,,,,28.9,57.5,3.029,
"Thu, 05 Sep 2024 14:39:16",26.6,59.0,2.839,,,,,
"Thu, 05 Sep 2024 14:57:04",,,,,,,,0.0
"Thu, 05 Sep 2024 15:11:46",,,,1.0,,,,
"Thu, 05 Sep 2024 15:39:16",27.0,55.5,2.835,,,,,
"Thu, 05 Sep 2024 16:14:34",,,,0.0,,,,
"Thu, 05 Sep 2024 16:23:57",,,,,29.0,57.0,3.029,
"Thu, 05 Sep 2024 16:39:16",27.2,52.5,2.842,,,,,
"Thu, 05 Sep 2024 16:56:56",,,,1.0,,,,
"Thu, 05 Sep 2024 17:05:51",,,,0.0,,,,
"Thu, 05 Sep 2024 17:12:02",,,,1.0,,,,
"Thu, 05 Sep 2024 17:23:43",,,,,29.0,57.0,3.028,
"Thu, 05 Sep 2024 17:26:17",,,,0.0,,,,
"Thu, 05 Sep 2024 17:32:56",,,,1.0,,,,
"Thu, 05 Sep 2024 17:37:56",,,,0.0,,,,
"Thu, 05 Sep 2024 17:39:16",27.7,52.5,2.841,,,,,
"Thu, 05 Sep 2024 18:22:31",,,,,,,,1.0
"Thu, 05 Sep 2024 18:23:50",,,,,28.9,56.5,3.029,
"Thu, 05 Sep 2024 18:39:17",27.9,53.0,2.842,,,,,
"Thu, 05 Sep 2024 18:49:21",,,,,,,,0.0
"Thu, 05 Sep 2024 19:12:46",,,,,,,,1.0
"Thu, 05 Sep 2024 19:39:17",27.7,54.0,2.838,,,,,
"Thu, 05 Sep 2024 19:46:09",,,,,,,,0.0
"Thu, 05 Sep 2024 20:00:30",,,,,,,,0.0
"Thu, 05 Sep 2024 20:09:43",,,,,,,,0.0
"Thu, 05 Sep 2024 20:15:43",,,,,,,,1.0
"Thu, 05 Sep 2024 20:23:43",,,,,26.1,43.0,3.031,
"Thu, 05 Sep 2024 20:33:11",,,,,,,,0.0
"Thu, 05 Sep 2024 20:39:17",27.7,55.5,2.843,,,,,
"Thu, 05 Sep 2024 21:30:33",,,,,,,,0.0
"Thu, 05 Sep 2024 21:39:17",27.6,56.0,2.843,,,,,
"Thu, 05 Sep 2024 22:39:17",27.6,57.0,2.842,,,,,
"Thu, 05 Sep 2024 23:39:17",27.5,57.0,2.839,,,,,
"Fri, 06 Sep 2024 00:39:18",27.4,58.0,2.841,,,,,
"Fri, 06 Sep 2024 00:46:50",,,,,,,,0.0
"Fri, 06 Sep 2024 01:39:18",27.2,59.0,2.841,,,,,
"Fri, 06 Sep 2024 02:38:38",,,,,,,,0.0
"Fri, 06 Sep 2024 02:39:18",27.0,60.0,2.841,,,,,
"Fri, 06 Sep 2024 03:39:18",26.7,61.5,2.841,,,,,
"Fri, 06 Sep 2024 04:28:15",,,,,,,,0.0
"Fri, 06 Sep 2024 04:39:18",26.5,62.5,2.841,,,,,
"Fri, 06 Sep 2024 05:23:45",,,,,26.8,56.0,3.029,
"Fri, 06 Sep 2024 05:39:19",26.5,63.0,2.841,,,,,
"Fri, 06 Sep 2024 06:34:21",,,,,,,,0.0
"Fri, 06 Sep 2024 06:39:19",26.4,,2.841,,,,,
"Fri, 06 Sep 2024 06:45:08",,,,,,,,1.0
"Fri, 06 Sep 2024 06:56:24",,,,,,,,0.0
"Fri, 06 Sep 2024 07:10:16",,,,,,,,0.0
"Fri, 06 Sep 2024 07:23:52",,,,,25.6,50.5,3.024,
"Fri, 06 Sep 2024 07:27:07",,,,,,,,1.0
"Fri, 06 Sep 2024 07:37:10",,,,,,,,0.0
"Fri, 06 Sep 2024 07:39:19",26.5,62.5,2.835,,,,,
"Fri, 06 Sep 2024 07:44:13",,,,,,,,1.0
"Fri, 06 Sep 2024 08:39:19",26.8,61.5,2.842,,,,,
"Fri, 06 Sep 2024 09:03:09",,,,1.0,,,,
"Fri, 06 Sep 2024 09:08:09",,,,0.0,,,,
"Fri, 06 Sep 2024 09:12:54",,,,1.0,,,,
"Fri, 06 Sep 2024 09:17:54",,,,0.0,,,,
"Fri, 06 Sep 2024 09:21:02",,,,1.0,,,,
"Fri, 06 Sep 2024 09:23:59",,,,,27.4,60.0,3.024,
"Fri, 06 Sep 2024 09:39:19",25.8,56.0,2.839,,,,,
"Fri, 06 Sep 2024 10:39:19",26.0,54.0,2.839,,,,,
"Fri, 06 Sep 2024 10:51:37",,,,0.0,,,,
"Fri, 06 Sep 2024 11:39:19",27.7,51.5,2.841,,,,,
